instruction,task,assignedTo,status,pendingDays,output
Generate follow-up message for pending task,Compliance filing,Arun,in-progress,1,The task has been pending for 1 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Audit preparation,arun kumar,blocked,2,The task has been pending for 2 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Payroll verification,bala,pending,3,The task has been pending for 3 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,abdul,pending,4,The task has been pending for 4 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,bharath waj,pending,5,The task has been pending for 5 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,kanimozhi,blocked,6,The task has been pending for 6 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Audit preparation,jp,in-progress,7,The task has been pending for 7 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,tamil,in-progress,8,The task has been pending for 8 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Attendance reconciliation,venu,pending,9,The task has been pending for 9 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,suba,pending,10,The task has been pending for 10 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,vishali,in-progress,11,The task has been pending for 11 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,yuvaraj,pending,12,The task has been pending for 12 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,aruna,pending,13,The task has been pending for 13 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Appraisal data entry,ak,in-progress,14,The task has been pending for 14 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,Arun,blocked,15,The task has been pending for 15 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,arun kumar,in-progress,16,The task has been pending for 16 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,bala,blocked,17,The task has been pending for 17 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,abdul,blocked,18,The task has been pending for 18 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,bharath waj,in-progress,19,The task has been pending for 19 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,kanimozhi,in-progress,20,The task has been pending for 20 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,jp,in-progress,21,The task has been pending for 21 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,tamil,blocked,22,The task has been pending for 22 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,venu,blocked,23,The task has been pending for 23 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Audit preparation,suba,pending,24,The task has been pending for 24 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,vishali,blocked,25,The task has been pending for 25 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Attendance reconciliation,yuvaraj,blocked,26,The task has been pending for 26 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,aruna,pending,27,The task has been pending for 27 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,ak,blocked,28,The task has been pending for 28 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,Arun,blocked,29,The task has been pending for 29 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,arun kumar,blocked,30,The task has been pending for 30 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,bala,blocked,1,The task has been pending for 1 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,abdul,pending,2,The task has been pending for 2 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,bharath waj,blocked,3,The task has been pending for 3 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,kanimozhi,in-progress,4,The task has been pending for 4 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,jp,blocked,5,The task has been pending for 5 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,tamil,pending,6,The task has been pending for 6 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Audit preparation,venu,in-progress,7,The task has been pending for 7 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,suba,in-progress,8,The task has been pending for 8 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,vishali,in-progress,9,The task has been pending for 9 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,yuvaraj,blocked,10,The task has been pending for 10 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,aruna,in-progress,11,The task has been pending for 11 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,ak,in-progress,12,The task has been pending for 12 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Appraisal data entry,Arun,in-progress,13,The task has been pending for 13 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Exit clearance,arun kumar,in-progress,14,The task has been pending for 14 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Policy review,bala,in-progress,15,The task has been pending for 15 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Payroll verification,abdul,blocked,16,The task has been pending for 16 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Attendance reconciliation,bharath waj,blocked,17,The task has been pending for 17 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Attendance reconciliation,kanimozhi,in-progress,18,The task has been pending for 18 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,jp,pending,19,The task has been pending for 19 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Attendance reconciliation,tamil,pending,20,The task has been pending for 20 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,venu,pending,21,The task has been pending for 21 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Appraisal data entry,suba,in-progress,22,The task has been pending for 22 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,vishali,in-progress,23,The task has been pending for 23 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,yuvaraj,in-progress,24,The task has been pending for 24 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Payroll verification,aruna,blocked,25,The task has been pending for 25 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Attendance reconciliation,ak,in-progress,26,The task has been pending for 26 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,Arun,blocked,27,The task has been pending for 27 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,arun kumar,pending,28,The task has been pending for 28 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Audit preparation,bala,blocked,29,The task has been pending for 29 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Payroll verification,abdul,pending,30,The task has been pending for 30 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Appraisal data entry,bharath waj,in-progress,1,The task has been pending for 1 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Payroll verification,kanimozhi,in-progress,2,The task has been pending for 2 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Vendor contract upload,jp,pending,3,The task has been pending for 3 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,tamil,in-progress,4,The task has been pending for 4 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Onboarding documentation,venu,in-progress,5,The task has been pending for 5 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Payroll verification,suba,pending,6,The task has been pending for 6 days and requires action as per HRMS tracking standards.
Generate follow-up message for pending task,Compliance filing,vishali,pending,7,The task has been pending for 7 days and requires action as per HRMS tracking standards.
